command	availability	go_package	effective_owner	implementation_source	parser_model	base_synopsis	conditional_synopsis	applicability	required_options	conditional_options	compatibility_scope	option_arguments	operands	operand_rules	special_tokens	stdin	environment	stdout	stderr	effects	exit_status	clause_ids	standard_source	parser_source	go_evidence	shell_evidence	shell_routing_evidence	provider_evidence	evidence_state
chgrp	go	cmds/chgrp	go	cmds/chgrp	flagset	chgrp [-h] group file... ; chgrp -R [-H|-L|-P] group file...	-	base	-h;-H;-L;-P;-R	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	group;file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:chgrp:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/chgrp.html	cmds/chgrp	-	-	-	-	unverified
chmod	go	cmds/chmod	go	cmds/chmod	flagset	chmod [-R] mode file...	-	base	-R	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	mode;file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:chmod:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/chmod.html	cmds/chmod	-	-	-	-	unverified
chown	go	cmds/chown	go	cmds/chown	flagset	chown [-h] owner[:group] file... ; chown -R [-H|-L|-P] owner[:group] file...	-	base	-h;-H;-L;-P;-R	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	owner[:group];file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:chown:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/chown.html	cmds/chown	-	-	-	-	unverified
cksum	go	cmds/cksum	go	cmds/cksum	flagset	cksum [file...]	-	base	NONE	-	POSIX Issue 7 only; GNU compatibility is out of scope	NONE	file	For every operand in order, calculate the Issue 7 Ethernet-polynomial CRC including the encoded file length and count its octets; no operands selects standard input; process later operands after an earlier error.	-- ends option parsing; this implementation treats a file operand of - as standard input.	Used when no file operand is supplied and for each - operand; otherwise not used.	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	For each successful named file write checksum, octet count, pathname, and newline separated by spaces; omit pathname and its leading space for no-operand standard input.	Used only for diagnostic messages.	Reads inputs without modifying them; output is standard output only.	0 only when all files are processed successfully; greater than 0 if an error occurs.	XCU:cksum:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/cksum.html	cmds/cksum	cmds/cksum/cksum_test.go#TestCKSumStdinAndFiles;cmds/cksum/cksum_test.go#TestCKSumErrors;cmds/cksum/cksum_test.go#TestCKSumReportsStandardOutputWriteError	-	-	-	partial
cmp	go	cmds/cmp	go	cmds/cmp	flagset	cmp [-l|-s] file1 file2	-	base	-l;-s	-	POSIX Issue 7 only; GNU compatibility is out of scope	NONE	file1;file2	Compare file1 and file2 byte by byte from the beginning, numbering bytes and lines from 1; a - operand reads standard input; identical files produce no output; GNU-diffutils operand extensions (an omitted file2 defaulting to - and trailing SKIP1/SKIP2 skips) are accepted beyond the two-operand Issue 7 synopsis.	-- ends option parsing; a file operand of - selects standard input, accepted for at most one operand (cmp - - is refused).	Used only when a file operand is -.	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	"Default mode writes ""%s %s differ: char %d, line %d"" for the first difference; -l lists every difference as ""%d %o %o"" per line, exactly in POSIX mode (POSIXLY_CORRECT) and with GNU-diffutils column alignment otherwise; -s writes nothing."	"Used only for diagnostic messages; a shorter identical-prefix file yields ""cmp: EOF on %s"" plus blank-led additional info in default and -l modes."	Reads inputs without modifying them; no output files.	0 files identical; 1 files differ; greater than 1 on error.	XCU:cmp:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/cmp.html	cmds/cmp	cmds/cmp/cmp_test.go#TestCmpIdentical;cmds/cmp/cmp_test.go#TestCmpDiffer;cmds/cmp/cmp_test.go#TestCmpVerbose;cmds/cmp/cmp_test.go#TestCmpSilent;cmds/cmp/cmp_test.go#TestCmpEOF;cmds/cmp/cmp_test.go#TestCmpRejectsRepeatedStandardInput;cmds/cmp/cmp_test.go#TestCmpErrors;cmds/cmp/cmp_posix_test.go#TestCmpVerbosePOSIXModeFormat;cmds/cmp/cmp_posix_test.go#TestCmpVerboseEOFDiagnostic	-	-	-	partial
comm	go	cmds/comm	go	cmds/comm	flagset	comm [-123] file1 file2	-	base	-1;-2;-3	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	file1;file2	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:comm:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/comm.html	cmds/comm	-	-	-	-	unverified
command	shell_only	-	shell	shell:command	shell_builtin	command [-p] command_name [argument...] ; command [-p][-v|-V] command_name	-	base	-p;-v;-V	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	argument;command_name	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH;PATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:command:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/command.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRouteCommand	-	unverified
cp	go	cmds/cp	go	cmds/cp	flagset	cp [-Pfip] source_file target_file ; cp [-Pfip] source_file... target ; cp -R [-H|-L|-P] [-fip] source_file... target	-	base	-f;-H;-i;-L;-P;-p;-R	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	source_file;target_file;target	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:cp:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/cp.html	cmds/cp	-	-	-	-	unverified
crontab	go	cmds/crontab	go	cmds/crontab	flagset	crontab [file]	optional::crontab [-e|-l|-r]	base;optional	-	optional:-e,-l,-r	POSIX Issue 7 only; GNU compatibility is out of scope	-	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	EDITOR;LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:crontab:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/crontab.html	cmds/crontab	-	-	-	-	unverified
csplit	go	cmds/csplit	go	cmds/csplit	flagset	csplit [-ks] [-f prefix] [-n number] file arg...	-	base	-f;-k;-n;-s	-	POSIX Issue 7 only; GNU compatibility is out of scope	-f=<prefix>;-n=<number>	file;/rexp/[offset];%rexp%[offset];line_no;{num}	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:csplit:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/csplit.html	cmds/csplit	-	-	-	-	unverified
ctags	external_provider	cmds/posixproviders	external_provider	pkg/posixprovider/manifest.tsv#ctags	external	ctags -x pathname...	development::ctags [-a] [-f tagsfile] pathname...	base;development	-x	development:-a,-f	POSIX Issue 7 only; GNU compatibility is out of scope	-f=<tagsfile>	file.c;file.h;file.f	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:ctags:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/ctags.html	-	-	-	-	-	unverified
cut	go	cmds/cut	go	cmds/cut	flagset	cut -b list [-n] [file...] ; cut -c list [file...] ; cut -f list [-d delim] [-s] [file...]	-	base	-b;-c;-d;-f;-n;-s	-	POSIX Issue 7 only; GNU compatibility is out of scope	-b=<list>;-c=<list>;-d=<delim>;-f=<list>	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:cut:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/cut.html	cmds/cut	-	-	-	-	unverified
date	go	cmds/date	go	cmds/date	flagset	date [-u] [+format]	xsi::date [-u] mmddhhmm[[cc]yy]	base;xsi	-u	-	POSIX Issue 7 only; GNU compatibility is out of scope	NONE	+format;mmddhhmm[[cc]yy]	A leading + marks the format operand: conversion specifications (all Issue 7 specifiers including the %E/%O modified forms) are replaced and other characters copied, newline-terminated; the XSI mmddhhmm[[cc]yy] set-date operand is recognized and refused loudly as unsupported without writing to standard output.	%% literal percent; %n newline; %t tab; E and O modifier prefixes render as the unmodified conversion; an unknown conversion specification is copied literally.	Not used.	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;LC_TIME;NLSPATH;TZ	"With no operand, the POSIX default format ""+%a %b %e %H:%M:%S %Z %Y""; with +format, the expanded format; always newline-terminated."	Used only for diagnostic messages.	Read-only: the base form never modifies system state; -u formats as if TZ were UTC0, otherwise TZ from the invocation environment selects the timezone.	0 when the date was written successfully; greater than 0 if an error occurred, including the refused XSI set form.	XCU:date:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/date.html	cmds/date	cmds/date/date_test.go#TestDateFormats;cmds/date/date_test.go#TestDateAlternativeModifiers;cmds/date/date_test.go#TestDateTZ;cmds/date/date_test.go#TestDateLCTimePrecedence;cmds/date/date_test.go#TestDateDefaultShape;cmds/date/date_test.go#TestDateXSISetDateOperandRefusedLoudly;cmds/date/date_test.go#TestDateErrors;cmds/date/date_test.go#TestDateInvalidUsageDiagnostics;cmds/date/date_test.go#TestDateWriteErrorDiagnostic	-	-	-	partial
dd	go	cmds/dd	go	cmds/dd	custom	dd [operand...]	-	base	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	if=file;of=file;ibs=expr;obs=expr;bs=expr;cbs=expr;skip=n;seek=n;count=n;conv=value[,value ...];ascii;ebcdic;ibm;block;unblock;lcase;ucase;swab;noerror;notrunc;sync	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:dd:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/dd.html	cmds/dd	-	-	-	-	unverified
df	go	cmds/df	go	cmds/df	flagset	-	xsi::df [-k] [-P|-t] [file...]	xsi	-	xsi:-k,-P,-t	POSIX Issue 7 only; GNU compatibility is out of scope	-	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:df:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/df.html	cmds/df	-	-	-	-	unverified
diff	go	cmds/diff	go	cmds/diff	flagset	diff [-c|-e|-f|-u|-C n|-U n] [-br] file1 file2	-	base	-b;-c;-C;-e;-f;-r;-u;-U	-	POSIX Issue 7 only; GNU compatibility is out of scope	-C=<n>;-U=<n>	file1, file2	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;LC_TIME;NLSPATH;TZ	UNVERIFIED	UNVERIFIED	UNVERIFIED	0 no differences; 1 differences found; greater than 1 on error.	XCU:diff:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/diff.html	cmds/diff	-	-	-	-	unverified
dirname	go	cmds/dirname	go	cmds/dirname	flagset	dirname string	-	base	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	string	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:dirname:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/dirname.html	cmds/dirname	-	-	-	-	unverified
du	go	cmds/du	go	cmds/du	flagset	du [-a|-s] [-kx] [-H|-L] [file...]	-	base	-a;-H;-k;-L;-s;-x	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:du:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/du.html	cmds/du	-	-	-	-	unverified
