applet	go_package	alias_of	family	gnu_coreutils	vsc_named_tset	test_files	test_functions
ls	cmds/ls		GNU Coreutils	yes	yes	2	36
md5sum	cmds/md5sum		GNU Coreutils	yes	no	1	15
mkdir	cmds/mkdir		GNU Coreutils	yes	yes	2	16
mkfifo	cmds/mkfifo		GNU Coreutils	yes	yes	1	9
mknod	cmds/mknod		GNU Coreutils	yes	no	1	4
mktemp	cmds/mktemp		GNU Coreutils	yes	no	1	9
more	cmds/more		POSIX/Unix utility	no	yes	1	8
mv	cmds/mv		GNU Coreutils	yes	yes	1	17
ncal	cmds/cal	cal	Bashy/other extension	no	no	1	6
nice	cmds/nice		GNU Coreutils	yes	yes	5	16
nl	cmds/nl		GNU Coreutils	yes	no	1	12
nohup	cmds/nohup		GNU Coreutils	yes	yes	3	20
nproc	cmds/nproc		GNU Coreutils	yes	no	1	2
ntp	cmds/ntp		Bashy/other extension	no	no	1	4
numfmt	cmds/numfmt		GNU Coreutils	yes	no	1	14
od	cmds/od		GNU Coreutils	yes	yes	1	19
paste	cmds/paste		GNU Coreutils	yes	yes	1	7
pathchk	cmds/pathchk		GNU Coreutils	yes	yes	2	10
pinky	cmds/pinky		GNU Coreutils	yes	no	1	6
pr	cmds/pr		GNU Coreutils	yes	yes	1	21
printenv	cmds/printenv		GNU Coreutils	yes	no	1	4
printf	cmds/printf		GNU Coreutils	yes	yes	3	23
ps	cmds/ps		POSIX/Unix utility	no	yes	1	2
ptx	cmds/ptx		GNU Coreutils	yes	no	1	14
pwd	cmds/pwd		GNU Coreutils	yes	yes	1	8
readlink	cmds/readlink		GNU Coreutils	yes	no	1	7
realpath	cmds/realpath		GNU Coreutils	yes	no	1	10
rm	cmds/rm		GNU Coreutils	yes	yes	1	20
rmdir	cmds/rmdir		GNU Coreutils	yes	yes	1	20
sed	cmds/sed		POSIX/Unix utility	no	yes	3	59
seq	cmds/seq		GNU Coreutils	yes	no	1	3
sha1sum	cmds/sha1sum		GNU Coreutils	yes	no	1	4
sha224sum	cmds/sha224sum		GNU Coreutils	yes	no	1	4
sha256sum	cmds/sha256sum		GNU Coreutils	yes	no	1	4
sha384sum	cmds/sha384sum		GNU Coreutils	yes	no	1	4
sha512sum	cmds/sha512sum		GNU Coreutils	yes	no	1	4
shred	cmds/shred		GNU Coreutils	yes	no	1	4
shuf	cmds/shuf		GNU Coreutils	yes	no	1	12
sleep	cmds/sleep		GNU Coreutils	yes	yes	1	5
sntp	cmds/ntp	ntp	Bashy/other extension	no	no	1	4
sort	cmds/sort		GNU Coreutils	yes	yes	4	24
split	cmds/split		GNU Coreutils	yes	yes	1	13
stat	cmds/stat		GNU Coreutils	yes	no	1	18
stdbuf	cmds/stdbuf		GNU Coreutils	yes	no	1	5
strings	cmds/strings		POSIX/Unix utility	no	yes	1	5
stty	cmds/stty		GNU Coreutils	yes	yes	2	9
sum	cmds/sum		GNU Coreutils	yes	no	1	2
sync	cmds/sync		GNU Coreutils	yes	no	1	5
tac	cmds/tac		GNU Coreutils	yes	no	1	6
tail	cmds/tail		GNU Coreutils	yes	yes	2	19
tar	cmds/tar		Bashy/other extension	no	no	1	14
tee	cmds/tee		GNU Coreutils	yes	yes	2	17
test	cmds/test		GNU Coreutils	yes	yes	3	32
time	cmds/time		POSIX/Unix utility	no	yes	4	15
timeout	cmds/timeout		GNU Coreutils	yes	no	1	5
tokens	cmds/tokens		Bashy/other extension	no	no	1	4
touch	cmds/touch		GNU Coreutils	yes	yes	3	26
tr	cmds/tr		GNU Coreutils	yes	yes	2	16
tree	cmds/tree		Bashy/other extension	no	no	1	5
true	cmds/true		GNU Coreutils	yes	yes	1	1
truncate	cmds/truncate		GNU Coreutils	yes	no	1	6
tsort	cmds/tsort		GNU Coreutils	yes	yes	1	7
tty	cmds/tty		GNU Coreutils	yes	yes	3	13
tz	cmds/tz		Bashy/other extension	no	no	1	2
uname	cmds/uname		GNU Coreutils	yes	yes	1	6
unexpand	cmds/unexpand		GNU Coreutils	yes	yes	1	15
uniq	cmds/uniq		GNU Coreutils	yes	yes	1	4
unlink	cmds/unlink		GNU Coreutils	yes	no	1	3
uptime	cmds/uptime		GNU Coreutils	yes	no	1	5
users	cmds/users		GNU Coreutils	yes	no	1	1
uudecode	cmds/uudecode		POSIX/Unix utility	no	yes	1	4
uuencode	cmds/uuencode		POSIX/Unix utility	no	yes	1	3
vdir	cmds/vdir		GNU Coreutils	yes	no	1	4
watch	cmds/watch		Bashy/other extension	no	no	1	4
wc	cmds/wc		GNU Coreutils	yes	yes	2	20
which	cmds/which		Bashy/other extension	no	no	1	9
who	cmds/who		GNU Coreutils	yes	yes	2	11
whoami	cmds/whoami		GNU Coreutils	yes	no	1	3
why	cmds/why		Bashy/other extension	no	no	1	17
xargs	cmds/xargs		POSIX/Unix utility	no	yes	3	27
yes	cmds/yes		GNU Coreutils	yes	no	1	4
zcat	cmds/gzip	gzip	Bashy/other extension	no	no	1	10
